park_code,park_name,wiki_url,nps_url,area_acres,lat,lon
GRKO,Grant-Kohrs Ranch National Historic Site,https://en.wikipedia.org/wiki/Grant-Kohrs_Ranch_National_Historic_Site,https://www.nps.gov/GRKO/index.htm,1618.0,46.40833,-112.73944
GRPO,Grand Portage National Monument,https://en.wikipedia.org/wiki/Grand_Portage_National_Monument,https://www.nps.gov/GRPO/index.htm,710.0,47.99639,-89.73417
GRSA,Great Sand Dunes National Park & Preserve,https://en.wikipedia.org/wiki/Great_Sand_Dunes_National_Park_and_Preserve,https://www.nps.gov/GRSA/index.htm,149028.0,37.7329,-105.5121
GRSM,Great Smoky Mountains National Park,https://en.wikipedia.org/wiki/Great_Smoky_Mountains_National_Park,https://www.nps.gov/GRSM/index.htm,522419.0,35.61111,-83.425
GRTE,Grand Teton National Park,https://en.wikipedia.org/wiki/Grand_Teton_National_Park,https://www.nps.gov/GRTE/index.htm,310000.0,43.83333,-110.70083
GUCO,Guilford Courthouse National Military Park,https://en.wikipedia.org/wiki/Guilford_Courthouse_National_Military_Park,https://www.nps.gov/GUCO/index.htm,253.54,36.13139,-79.84639
GUIS,Gulf Islands National Seashore,https://en.wikipedia.org/wiki/Gulf_Islands_National_Seashore,https://www.nps.gov/GUIS/index.htm,135457.89,30.36444,-86.9675
GUMO,Guadalupe Mountains National Park,https://en.wikipedia.org/wiki/Guadalupe_Mountains_National_Park,https://www.nps.gov/GUMO/index.htm,86367.0,31.917,-104.867
GWCA,George Washington Carver National Monument,https://en.wikipedia.org/wiki/George_Washington_Carver_National_Monument,https://www.nps.gov/GWCA/index.htm,240.0,36.986361,-94.354191
GWMP,George Washington Memorial Parkway,https://en.wikipedia.org/wiki/George_Washington_Memorial_Parkway,https://www.nps.gov/GWMP/index.htm,,,
HAFE,Harpers Ferry National Historical Park,https://en.wikipedia.org/wiki/Harpers_Ferry_National_Historical_Park,https://www.nps.gov/HAFE/index.htm,3660.73,39.32278,-77.72972
HAFO,Hagerman Fossil Beds National Monument,https://en.wikipedia.org/wiki/Hagerman_Fossil_Beds_National_Monument,https://www.nps.gov/HAFO/index.htm,4351.0,42.79028,-114.94528
HAGR,Hamilton Grange National Memorial,https://en.wikipedia.org/wiki/Hamilton_Grange_National_Memorial,https://www.nps.gov/HAGR/index.htm,1.04,40.82139,-73.94722
HALE,Haleakalā National Park,https://en.wikipedia.org/wiki/Haleakala_National_Park,https://www.nps.gov/HALE/index.htm,33265.0,20.71667,-156.16667
HAMP,Hampton National Historic Site,https://en.wikipedia.org/wiki/Hampton_National_Historic_Site,https://www.nps.gov/HAMP/index.htm,62.04,39.41611,-76.5875
HART,Harriet Tubman National Historical Park,https://en.wikipedia.org/wiki/Harriet_Tubman_National_Historical_Park,https://www.nps.gov/HART/index.htm,,42.9111028,-76.5677806
HATU,Harriet Tubman Underground Railroad National Historical Park,https://en.wikipedia.org/wiki/Harriet_Tubman_Underground_Railroad_National_Historical_Park,https://www.nps.gov/HATU/index.htm,480.0,38.4483,-76.1387
HAVO,Hawaiʻi Volcanoes National Park,https://en.wikipedia.org/wiki/Hawaii_Volcanoes_National_Park,https://www.nps.gov/HAVO/index.htm,354461.0,19.383,-155.2
HEHO,Herbert Hoover National Historic Site,https://en.wikipedia.org/wiki/Herbert_Hoover_National_Historic_Site,https://www.nps.gov/HEHO/index.htm,186.8,41.66889,-91.34806
HOBE,Horseshoe Bend National Military Park,https://en.wikipedia.org/wiki/Horseshoe_Bend_National_Military_Park,https://www.nps.gov/HOBE/index.htm,2040.0,32.97083,-85.73833
HOCU,Hopewell Culture National Historical Park,https://en.wikipedia.org/wiki/Hopewell_Culture_National_Historical_Park,https://www.nps.gov/HOCU/index.htm,1170.0,39.37583,-83.00639
HOFR,Home Of Franklin D Roosevelt National Historic Site,https://en.wikipedia.org/wiki/Home_Of_Franklin_D_Roosevelt_National_Historic_Site,https://www.nps.gov/HOFR/index.htm,800.0,41.76722,-73.93556
HOFU,Hopewell Furnace National Historic Site,https://en.wikipedia.org/wiki/Hopewell_Furnace_National_Historic_Site,https://www.nps.gov/HOFU/index.htm,848.0,40.19861,-75.77556
HOME,Homestead National Historical Park,https://en.wikipedia.org/wiki/Homestead_National_Historical_Park,https://www.nps.gov/HOME/index.htm,211.0,40.28528,-96.82194
HONO,Honouliuli National Historic Site,https://en.wikipedia.org/wiki/Honouliuli_National_Historic_Site,https://www.nps.gov/HONO/index.htm,122.5,21.39167,-158.05972
HOSP,Hot Springs National Park,https://en.wikipedia.org/wiki/Hot_Springs_National_Park,https://www.nps.gov/HOSP/index.htm,5550.0,34.51361,-93.05361
HOVE,Hovenweep National Monument,https://en.wikipedia.org/wiki/Hovenweep_National_Monument,https://www.nps.gov/HOVE/index.htm,784.0,37.38389,-109.07722
HSTR,Harry S Truman National Historic Site,https://en.wikipedia.org/wiki/Harry_S_Truman_National_Historic_Site,https://www.nps.gov/HSTR/index.htm,0.8,39.09333,-94.42306
HUTR,Hubbell Trading Post National Historic Site,https://en.wikipedia.org/wiki/Hubbell_Trading_Post_National_Historic_Site,https://www.nps.gov/HUTR/index.htm,160.0,35.72389,-109.56
IATR,Ice Age National Scenic Trail,https://en.wikipedia.org/wiki/Ice_Age_National_Scenic_Trail,https://www.nps.gov/IATR/index.htm,,,
INDE,Independence National Historical Park,https://en.wikipedia.org/wiki/Independence_National_Historical_Park,https://www.nps.gov/INDE/index.htm,55.42,39.947778,-75.148056
INDU,Indiana Dunes National Park,https://en.wikipedia.org/wiki/Indiana_Dunes_National_Park,https://www.nps.gov/INDU/index.htm,15349.0,41.64806,-87.10806
ISRO,Isle Royale National Park,https://en.wikipedia.org/wiki/Isle_Royale_National_Park,https://www.nps.gov/ISRO/index.htm,571790.0,48.01,-88.85
JAGA,James A Garfield National Historic Site,https://en.wikipedia.org/wiki/James_A_Garfield_National_Historic_Site,https://www.nps.gov/JAGA/index.htm,4.9,41.66396,-81.350907
JAZZ,New Orleans Jazz National Historical Park,https://en.wikipedia.org/wiki/New_Orleans_Jazz_National_Historical_Park,https://www.nps.gov/JAZZ/index.htm,4.0,29.96306,-90.06806
JECA,Jewel Cave National Monument,https://en.wikipedia.org/wiki/Jewel_Cave_National_Monument,https://www.nps.gov/JECA/index.htm,1273.0,43.72944,-103.82944
JEFF,Gateway Arch National Park,https://en.wikipedia.org/wiki/Gateway_Arch_National_Park,https://www.nps.gov/JEFF/index.htm,192.83,38.6246,-90.18497
JEFM,Thomas Jefferson Memorial,https://en.wikipedia.org/wiki/Thomas_Jefferson_Memorial,https://www.nps.gov/JEFM/index.htm,18.36,38.88139,-77.036528
JELA,Jean Lafitte National Historical Park and Preserve,https://en.wikipedia.org/wiki/Jean_Lafitte_National_Historical_Park_and_Preserve,https://www.nps.gov/JELA/index.htm,25876.0,29.9425,-89.99417
JICA,Jimmy Carter National Historical Park,https://en.wikipedia.org/wiki/Jimmy_Carter_National_Historical_Park,https://www.nps.gov/JICA/index.htm,71.0,32.0304393,-84.4182473
JODA,John Day Fossil Beds National Monument,https://en.wikipedia.org/wiki/John_Day_Fossil_Beds_National_Monument,https://www.nps.gov/JODA/index.htm,14062.0,44.55583,-119.64528
JODR,John D. Rockefeller Jr. Memorial Parkway,https://en.wikipedia.org/wiki/John_D._Rockefeller_Jr._Memorial_Parkway,https://www.nps.gov/JODR/index.htm,24000.0,44.10472,-110.69278
JOFI,John Fitzgerald Kennedy National Historic Site,https://en.wikipedia.org/wiki/John_Fitzgerald_Kennedy_National_Historic_Site,https://www.nps.gov/JOFI/index.htm,0.09,42.34694,-71.12333
JOFK,John F. Kennedy Memorial Center for the Performing Arts,https://en.wikipedia.org/wiki/John_F._Kennedy_Memorial_Center_for_the_Performing_Arts,https://www.nps.gov/JOFK/index.htm,,38.8957,-77.0559
JOFL,Johnstown Flood National Memorial,https://en.wikipedia.org/wiki/Johnstown_Flood_National_Memorial,https://www.nps.gov/JOFL/index.htm,164.12,40.34556,-78.77861
JOMU,John Muir National Historic Site,https://en.wikipedia.org/wiki/John_Muir_National_Historic_Site,https://www.nps.gov/JOMU/index.htm,345.0,37.991311,-122.133298
JOTR,Joshua Tree National Park,https://en.wikipedia.org/wiki/Joshua_Tree_National_Park,https://www.nps.gov/JOTR/index.htm,795156.0,34.1,-116.27
KAHO,Kaloko-Honokōhau National Historical Park,https://en.wikipedia.org/wiki/Kaloko-Honokohau_National_Historical_Park,https://www.nps.gov/KAHO/index.htm,1161.0,19.6787,-156.022
KALA,Kalaupapa National Historical Park,https://en.wikipedia.org/wiki/Kalaupapa_National_Historical_Park,https://www.nps.gov/KALA/index.htm,10779.0,21.17778,-156.96
KATM,Katmai National Park & Preserve,https://en.wikipedia.org/wiki/Katmai_National_Park_and_Preserve,https://www.nps.gov/KATM/index.htm,4093077.0,58.5,-155.0
